code,displayName,category,styleType,recommendedBadge,notes
TL-H-1,TL-H-1 Dyed Multicolor Chevron,Dyed,Chevron / Multicolor,TL-H-1 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-1212,TL-H-1212 Dark Wenge Straight Grain,Dark,Straight Grain / Wenge Look,TL-H-1212 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-1216,TL-H-1216 Light Oak Straight Grain,Light,Straight Grain / Oak Look,TL-H-1216 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-1700,TL-H-1700 Dark Walnut Linear Grain,Dark,Straight Grain / Walnut Look,TL-H-1700 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-1701,TL-H-1701 Golden Teak Linear Grain,Warm,Straight Grain / Teak Look,TL-H-1701 · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-1702,TL-H-1702 Smoked Brown Straight Grain,Smoked,Straight Grain / Smoked Wood Look,TL-H-1702 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-1708,TL-H-1708 Warm Walnut Straight Grain,Warm,Straight Grain / Walnut Look,TL-H-1708 · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-1712C,TL-H-1712C Warm Oak Linear Grain,Warm,Straight Grain / Oak Look,TL-H-1712C · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-1722N,TL-H-1722N Dark Walnut Crown Grain,Dark,Crown Grain / Walnut Look,TL-H-1722N · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-1728,TL-H-1728 Dark Striped Wenge Grain,Dark,Striped / Wenge Look,TL-H-1728 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-1730,TL-H-1730 Golden Brown Linear Grain,Warm,Straight Grain / Teak Look,TL-H-1730 · Warm,Visual classification for collection filtering; not a verified wood species.
TL-H-1902,TL-H-1902 Smoked White Oak Crown Grain,Smoked,Crown Grain / Oak Look,TL-H-1902 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-1912,TL-H-1912 Dyed Multicolor Mosaic Pattern,Dyed,Geometric / Multicolor,TL-H-1912 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-1916,TL-H-1916 Dyed Grey Mosaic Pattern,Dyed,Geometric / Grey Pattern,TL-H-1916 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-1918,TL-H-1918 Smoked Walnut Crown Grain,Smoked,Crown Grain / Walnut Look,TL-H-1918 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-1920,TL-H-1920 Light Figured Maple Grain,Light,Figured / Maple Look,TL-H-1920 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-1922,TL-H-1922 Dark Pinstripe Linear Grain,Dark,Pinstripe / Linear,TL-H-1922 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-1932,TL-H-1932 Dyed Abstract Color Pattern,Dyed,Abstract / Multicolor,TL-H-1932 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-2,TL-H-2 Dyed Blue Grey Chevron,Dyed,Chevron / Dyed,TL-H-2 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-2206C,TL-H-2206C Light Ash Crown Grain,Light,Crown Grain / Ash Look,TL-H-2206C · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-232,TL-H-232 Dyed Black White Zebra Grain,Dyed,Zebra / High Contrast,TL-H-232 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-2501,TL-H-2501 Light Curly Figured Grain,Light,Curly / Figured,TL-H-2501 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-2802,TL-H-2802 Smoked Grey Straight Grain,Smoked,Straight Grain / Grey,TL-H-2802 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-2900,TL-H-2900 Light Birdseye Texture,Light,Birdseye / Figured,TL-H-2900 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-2904,TL-H-2904 Smoked Grey Crown Grain,Smoked,Crown Grain / Smoked,TL-H-2904 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-2906,TL-H-2906 Light Fine Birdseye Texture,Light,Birdseye / Figured,TL-H-2906 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3,TL-H-3 Dyed Multicolor Chevron,Dyed,Chevron / Multicolor,TL-H-3 · Dyed,Visual classification for collection filtering; not a verified wood species.
TL-H-3002,TL-H-3002 Dark Wenge Pinstripe,Dark,Pinstripe / Wenge Look,TL-H-3002 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3006,TL-H-3006 Smoked Grey Speckled Texture,Smoked,Speckled / Grey,TL-H-3006 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3166N,TL-H-3166N Light Natural Straight Grain,Light,Straight Grain / Light Wood,TL-H-3166N · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3203,TL-H-3203 Light Linear Stripe Grain,Light,Linear Stripe / Light,TL-H-3203 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3204,TL-H-3204 Dark Herringbone Chevron,Dark,Chevron / Herringbone,TL-H-3204 · Dark,Visual classification for collection filtering; not a verified wood species.
TL-H-3208,TL-H-3208 Light Herringbone Chevron,Light,Chevron / Herringbone,TL-H-3208 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3210,TL-H-3210 Light Ash Straight Grain,Light,Straight Grain / Ash Look,TL-H-3210 · Light,Visual classification for collection filtering; not a verified wood species.
TL-H-3212,TL-H-3212 Smoked Grey Woven Texture,Smoked,Woven / Grey,TL-H-3212 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3216,TL-H-3216 Smoked Oak Crown Grain,Smoked,Crown Grain / Oak Look,TL-H-3216 · Smoked,Visual classification for collection filtering; not a verified wood species.
TL-H-3218,TL-H-3218 Light Straight Grain,Light,Straight Grain / Light Wood,TL-H-3218 · Light,Visual classification for collection filtering; not a verified wood species.
